Symbol,Description,Price,Price - Currency,"Price change %, 1 day",Sector,Industry,Exchange,"Price × volume (turnover), 1 day","Price × volume (turnover), 1 day - Currency","Volume, 1 day","Price change %, 1 week","Price change %, 1 month","Performance %, 3 months","Performance %, 1 year",Market capitalization,Market capitalization - Currency,Country or region of registration,"Beta, 1 year","Volume, 1 week","Average volume, 30 days","Moving average convergence divergence, 12,26, 1 week, Level","Moving average convergence divergence, 12,26, 1 week, Signal","Moving average convergence divergence, 12,26, 1 day, Level","Moving average convergence divergence, 12,26, 1 day, Signal","Exponential moving average, 10, 1 day","Exponential moving average, 20, 1 day","Exponential moving average, 50, 1 day","Exponential moving average, 200, 1 day","Exponential moving average, 10, 1 week","Exponential moving average, 20, 1 week","Exponential moving average, 50, 1 week","Exponential moving average, 200, 1 week",Snapshot Date
AEG,Aegon Ltd. New York Registry Shares,9.44,USD,4.656319290465631,Finance,Multi-line insurance,NYSE,56197613.28,USD,5953137,3.395399780941935,11.848341232227488,14.702308626974473,31.47632311977716,14074096050.6237,USD,Netherlands,1.1286759,25823464,5381781.266666667,0.4015420070058404,0.304471259241128,0.1801821028626573,0.1631024939914386,9.125840811895898,8.984865848083091,8.690447594619327,8.00077763435317,8.792284712866309,8.447690876582154,7.913001584035515,6.608540615261652,2026-07-31
MUFG,"Mitsubishi UFJ Financial Group, Inc.",22.5,USD,2.55241567912488,Finance,Major banks,NYSE,101673202.5,USD,4518809,-1.7038007863695963,13.122171945701355,26.47554806070827,59.12305516265912,246826436100.00003,USD,Japan,1.0144931,15236879,3429812.1666666665,1.3597143026169682,1.0755531497196429,0.5734589879061396,0.6116400476929029,22.304562341823004,21.903060343650903,20.830856902701264,18.23191563122175,21.045392134770804,19.91569238199209,17.87209441314277,12.780580027962024,2026-07-31
DAVE,Dave Inc.,377.64,USD,-0.3562099263832878,Finance,Major banks,NASDAQ,232571104.56,USD,615854,-6.248603559991066,1.3553772242948043,37.8147580468579,70.66931802774889,4801408274.000001,USD,United States,2.2610633,1830647,540179.1666666666,50.7862605981926,37.35484106422105,15.771128286870578,25.551479826820824,401.0582335454933,394.440677445152,350.6713919672022,259.6466337823814,355.81225771213684,311.166487137044,250.5132200390862,165.05871856974863,2026-07-31
HSBC,"HSBC Holdings, plc.",107.09,USD,4.3762183235867536,Finance,Major banks,NYSE,179949431.13,USD,1680357,3.5686653771760133,12.619623514565149,16.7447945056143,70.05160778086542,367140272257.9015,USD,United Kingdom,1.2532197,5169320,1310854.5333333334,5.889463609600881,4.991381116945766,2.567293144314121,2.2206135135890466,102.91371703716004,100.86350520330892,96.95935684658082,85.60406500149048,98.4419238608982,93.7928626182908,83.57366266695216,59.41820703710146,2026-07-31
EQH,"Equitable Holdings, Inc.",48.88,USD,1.0961737331954522,Finance,Life/Health insurance,NYSE,123924437.52,USD,2535279,1.8333333333333384,11.3947128532361,14.876615746180978,-5.6188453369376266,13342195171.999998,USD,United States,1.3653489,11286826,3152164.933333333,1.0121887222059698,-0.0476648832763262,1.1151164060047591,1.214395587348579,48.40688158738141,47.6413522926031,45.631715834561405,44.85730605691913,46.05438835906244,44.7171553097905,45.1548234316556,40.844114764561546,2026-07-31
MC,Moelis & Company,68.35,USD,4.7509578544061215,Finance,Investment banks/Brokers,NYSE,101957489.95,USD,1491697,2.01492537313432,4.478752675022917,5.380820228183772,-4.285114129673719,5564951656.0,USD,United States,1.3226016,4830035,966755.6666666666,0.5756939295920773,0.1681047837128386,0.1508561744973917,0.1132065767999412,67.18257268232286,67.06486129683041,66.575407615956,65.8601719387317,66.60347371784621,65.93979286958849,65.70169118386579,59.85509807148384,2026-07-31
SAN,"Banco Santander, S.A. Sponsored",14.11,USD,5.455904334828091,Finance,Major banks,NYSE,193183100.09,USD,13691219,4.209748892171347,2.2463768115941933,15.750615258408532,61.99770378874855,207123595132.08868,USD,Spain,1.6223574,40674711,9145641.566666644,0.6911526592373622,0.5973122838526216,0.1420148573811328,0.1588890895790076,13.729685563505262,13.645870238766983,13.24950764680435,11.8054688797345,13.369022858891958,12.82845250413138,11.491190510210812,7.630172762628659,2026-07-31
CRBG,Corebridge Financial Inc.,31.96,USD,0.6614173228346484,Finance,Life/Health insurance,NYSE,127185267.44,USD,3979514,2.14125918823906,11.631156129933643,15.005397625044989,-10.688836104513053,14246763575.0,USD,United States,1.2420957,17262437,4147020.466666667,0.722359098307809,0.0183928849586461,0.787701346091815,0.8218195233793957,31.58642540764219,31.02832756107966,29.65497867557685,29.036304337506984,29.98431414578319,29.064254264281665,29.245764450479303,26.322241399602067,2026-07-31
JXN,Jackson Financial Inc.,121.9,USD,1.1954175659970214,Finance,Life/Health insurance,NYSE,62848348.7,USD,515573,2.196512407780017,19.05459517531009,3.348876642645191,38.11466122818944,8501684365.000001,USD,United States,1.0238789,2175290,656096.3666666667,3.4211777645561483,2.1021120203516284,3.1867207126784365,3.433196620069001,120.87291967053032,118.55828558041053,114.153918533603,107.34086254217226,114.83208168107448,111.83368658086027,105.84549672773171,75.86083663667867,2026-07-31
UBS,UBS Group AG Registered,53.39,USD,3.0694980694980765,Finance,Investment managers,NYSE,143256955.63,USD,2683217,3.189022033243136,7.728006456820012,22.6228755167662,40.407626561472725,161660796992.9519,USD,Switzerland,1.3716835,9231714,1876679.6333333333,2.9522589702067847,2.3193250045796625,0.7359710552770977,0.901399174172632,52.35268858125882,51.92555275446351,49.94731321676641,44.48599766699801,50.36779575720527,47.87242472310353,43.72028566543864,33.24278813960347,2026-07-31
